Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
13,13,11/27/2004,19-333,CLE,CHI,1,32:00:00,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,0,26,24.5,season_2,LJ
14,14,11/29/2004,19-335,CLE,LAC,1,42:00:00,9,19,0.474,0,2,0,4,5,0.8,1,6,7,5,6,1,3,2,22,20.8,season_2,LJ
15,15,12/1/2004,19-337,CLE,PHO,1,40:00:00,6,19,0.316,0,2,0,3,4,0.75,1,2,3,6,2,1,6,2,15,5.1,season_2,LJ
16,16,12/2/2004,19-338,CLE,DEN,1,41:00:00,8,17,0.471,0,0,,1,2,0.5,1,7,8,9,2,1,5,3,17,13.5,season_2,LJ
17,17,12/4/2004,19-340,CLE,TOR,1,43:00:00,10,17,0.588,1,3,0.333,6,7,0.857,0,6,6,10,2,1,3,2,27,26.4,season_2,LJ
18,18,12/7/2004,19-343,CLE,NJN,1,46:00:00,11,22,0.5,0,1,0,5,6,0.833,0,2,2,8,3,0,3,4,27,20.2,season_2,LJ
19,19,12/8/2004,19-344,CLE,CHI,1,38:00:00,5,15,0.333,0,2,0,9,12,0.75,0,2,2,6,1,1,4,2,19,11,season_2,LJ
20,20,12/11/2004,19-347,CLE,SAS,1,42:00:00,10,19,0.526,1,3,0.333,2,2,1,3,3,6,10,4,0,3,2,23,23.9,season_2,LJ
21,21,12/13/2004,19-349,CLE,MEM,1,46:00:00,14,22,0.636,1,3,0.333,2,4,0.5,0,5,5,8,7,0,3,2,31,30.7,season_2,LJ
22,22,12/15/2004,19-351,CLE,POR,1,37:00:00,10,18,0.556,2,3,0.667,3,3,1,2,9,11,7,3,2,3,1,25,26.4,season_2,LJ
23,23,12/16/2004,19-352,CLE,DET,1,45:00:00,4,21,0.19,0,2,0,3,5,0.6,1,8,9,7,4,1,3,2,11,6,season_2,LJ
24,24,12/18/2004,19-354,CLE,BOS,1,40:00:00,12,25,0.48,3,5,0.6,4,8,0.5,1,4,5,4,3,1,4,6,31,18.7,season_2,LJ
25,25,12/21/2004,19-357,CLE,MIN,1,43:00:00,10,18,0.556,0,1,0,6,8,0.75,0,6,6,12,1,0,2,2,26,25,season_2,LJ
26,26,12/22/2004,19-358,CLE,NJN,1,42:00:00,7,18,0.389,1,1,1,8,10,0.8,1,8,9,9,1,0,4,2,23,18,season_2,LJ
27,27,12/26/2004,19-362,CLE,NOH,1,45:00:00,7,16,0.438,0,1,0,8,9,0.889,1,8,9,14,4,1,5,2,22,25,season_2,LJ
28,28,12/28/2004,19-364,CLE,ATL,1,46:00:00,13,25,0.52,3,5,0.6,11,14,0.786,1,8,9,7,1,0,1,2,40,33.7,season_2,LJ
29,29,12/29/2004,19-365,CLE,HOU,1,17:00,0,5,0,0,1,0,3,5,0.6,0,3,3,5,0,0,0,0,3,3.1,season_2,LJ
30,30,1/3/2005,20-004,CLE,CHA,1,41:00:00,11,19,0.579,0,3,0,4,6,0.667,2,6,8,6,2,0,1,3,26,23.5,season_2,LJ
31,31,1/5/2005,20-006,CLE,ATL,1,40:00:00,7,14,0.5,2,5,0.4,4,6,0.667,1,5,6,9,1,1,2,4,20,18.8,season_2,LJ
32,32,1/8/2005,20-009,CLE,NYK,1,32:00:00,10,14,0.714,0,0,,2,2,1,1,2,3,4,0,2,8,2,22,12.9,season_2,LJ
