Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
29,29,1/4/2006,21-005,CLE,MIL,1,45:42:00,12,29,0.414,2,8,0.25,6,7,0.857,2,9,11,11,5,1,4,1,32,29.2,season_3,LJ
30,30,1/5/2006,21-006,CLE,HOU,1,44:15:00,13,19,0.684,3,7,0.429,3,6,0.5,1,8,9,5,1,0,3,4,32,25.7,season_3,LJ
31,31,1/7/2006,21-008,CLE,MIL,1,45:12:00,14,22,0.636,3,7,0.429,4,9,0.444,2,5,7,6,0,1,0,1,35,30.6,season_3,LJ
32,32,1/10/2006,21-011,CLE,NYK,1,46:00:00,14,31,0.452,0,7,0,8,11,0.727,0,7,7,7,0,1,1,0,36,25.4,season_3,LJ
33,33,1/12/2006,21-013,CLE,LAL,1,40:06:00,11,22,0.5,2,3,0.667,4,9,0.444,0,2,2,9,0,0,5,2,28,16.1,season_3,LJ
34,34,1/14/2006,21-015,CLE,PHO,1,43:45:00,18,28,0.643,5,8,0.625,5,5,1,0,7,7,8,1,0,1,1,46,40.9,season_3,LJ
35,35,1/15/2006,21-016,CLE,POR,1,41:19:00,10,26,0.385,1,5,0.2,8,11,0.727,2,11,13,7,1,3,2,3,29,23.1,season_3,LJ
36,36,1/18/2006,21-019,CLE,DEN,1,41:35:00,7,20,0.35,2,6,0.333,8,15,0.533,2,9,11,9,0,0,2,5,24,16.4,season_3,LJ
37,37,1/20/2006,21-021,CLE,GSW,1,35:12:00,5,22,0.227,0,3,0,4,6,0.667,1,8,9,6,0,0,6,3,14,-0.1,season_3,LJ
38,38,1/21/2006,21-022,CLE,UTA,1,42:47:00,19,35,0.543,4,8,0.5,9,11,0.818,0,5,5,8,2,0,3,4,51,37.8,season_3,LJ
39,39,1/24/2006,21-025,CLE,IND,1,35:22:00,7,21,0.333,2,5,0.4,7,10,0.7,0,7,7,8,2,2,1,0,23,20,season_3,LJ
40,40,1/25/2006,21-026,CLE,ATL,1,45:54:00,11,22,0.5,1,5,0.2,15,20,0.75,1,8,9,6,3,1,5,2,38,30.2,season_3,LJ
41,41,1/27/2006,21-028,CLE,IND,1,45:06:00,12,23,0.522,1,2,0.5,5,8,0.625,1,6,7,9,3,1,6,1,30,23.6,season_3,LJ
42,42,1/29/2006,21-030,CLE,PHO,1,42:45:00,17,33,0.515,3,7,0.429,7,12,0.583,1,10,11,7,1,1,6,1,44,29.6,season_3,LJ
43,43,1/30/2006,21-031,CLE,CHA,1,31:34:00,11,19,0.579,2,6,0.333,6,11,0.545,1,5,6,6,5,1,4,2,30,26.4,season_3,LJ
44,44,2/1/2006,21-033,CLE,NJN,1,44:26:00,8,21,0.381,0,2,0,10,12,0.833,0,11,11,10,1,1,4,2,26,20.9,season_3,LJ
45,45,2/2/2006,21-034,CLE,MIA,1,39:18:00,12,29,0.414,2,5,0.4,3,3,1,1,4,5,7,1,0,1,0,29,20.3,season_3,LJ
46,46,2/4/2006,21-036,CLE,PHI,1,47:11:00,10,17,0.588,2,7,0.286,9,10,0.9,2,2,4,6,2,1,4,0,31,27.6,season_3,LJ
47,47,2/6/2006,21-038,CLE,MIL,1,45:21:00,9,20,0.45,2,7,0.286,2,4,0.5,0,9,9,12,0,2,4,4,22,17.7,season_3,LJ
48,48,2/8/2006,21-040,CLE,MIN,1,45:38:00,11,34,0.324,1,5,0.2,12,17,0.706,1,10,11,8,1,0,0,3,35,22.7,season_3,LJ
49,49,2/10/2006,21-042,CLE,WAS,1,45:23:00,6,23,0.261,0,3,0,6,8,0.75,1,8,9,8,1,0,2,2,18,10.4,season_3,LJ
50,50,2/11/2006,21-043,CLE,GSW,1,43:48:00,10,17,0.588,5,6,0.833,8,8,1,1,4,5,6,1,2,2,5,33,29.6,season_3,LJ
51,51,2/13/2006,21-045,CLE,SAS,1,40:43:00,19,33,0.576,1,3,0.333,5,8,0.625,2,1,3,5,4,0,2,0,44,34.5,season_3,LJ
52,52,2/15/2006,21-047,CLE,BOS,1,53:55:00,16,32,0.5,0,5,0,11,15,0.733,1,11,12,11,2,4,2,5,43,37.9,season_3,LJ
53,53,2/21/2006,21-053,CLE,ORL,1,42:51:00,10,24,0.417,1,5,0.2,5,7,0.714,0,2,2,9,1,2,2,0,26,19.7,season_3,LJ
54,54,2/22/2006,21-054,CLE,PHI,1,43:07:00,13,24,0.542,1,4,0.25,6,10,0.6,3,3,6,5,2,1,6,3,33,21.8,season_3,LJ
55,55,2/24/2006,21-056,CLE,WAS,1,47:46:00,7,21,0.333,3,8,0.375,8,19,0.421,0,7,7,9,1,0,4,2,25,13.3,season_3,LJ
56,56,2/26/2006,21-058,CLE,DET,1,37:46:00,9,20,0.45,2,3,0.667,2,3,0.667,1,8,9,7,0,0,3,3,22,15,season_3,LJ
57,57,2/27/2006,21-059,CLE,DET,1,46:34:00,9,22,0.409,0,3,0,8,10,0.8,1,3,4,6,0,1,5,0,26,14.9,season_3,LJ
58,58,3/1/2006,21-061,CLE,SAC,1,44:40:00,7,21,0.333,1,4,0.25,4,7,0.571,1,6,7,12,1,2,5,1,19,13.8,season_3,LJ
59,59,3/2/2006,21-062,CLE,CHI,1,46:37:00,11,27,0.407,0,3,0,11,13,0.846,2,9,11,8,0,1,5,4,33,21.5,season_3,LJ
60,60,3/5/2006,21-065,CLE,CHI,1,46:27:00,15,28,0.536,1,3,0.333,6,6,1,0,9,9,7,2,0,3,3,37,28.8,season_3,LJ
61,61,3/7/2006,21-067,CLE,TOR,1,43:44:00,5,17,0.294,2,6,0.333,5,6,0.833,1,11,12,8,1,0,2,2,17,14.5,season_3,LJ
62,62,3/8/2006,21-068,CLE,TOR,1,44:17:00,13,24,0.542,1,3,0.333,8,12,0.667,1,5,6,6,1,0,0,2,35,28.4,season_3,LJ
63,63,3/10/2006,21-070,CLE,ORL,1,38:58:00,9,22,0.409,2,6,0.333,5,6,0.833,2,5,7,2,2,1,5,0,25,14.8,season_3,LJ
64,64,3/12/2006,21-072,CLE,MIA,1,45:17:00,11,27,0.407,1,6,0.167,24,28,0.857,2,5,7,4,0,1,5,2,47,31.5,season_3,LJ
65,65,3/14/2006,21-074,CLE,DAL,1,44:58:00,14,27,0.519,0,2,0,8,8,1,1,11,12,5,0,2,4,1,36,27.2,season_3,LJ
66,66,3/17/2006,21-077,CLE,POR,1,44:10:00,9,23,0.391,1,6,0.167,8,10,0.8,2,7,9,5,6,0,1,2,27,24.9,season_3,LJ
67,67,3/19/2006,21-079,CLE,LAL,1,46:52:00,10,24,0.417,3,4,0.75,6,10,0.6,1,7,8,7,1,0,7,3,29,15.1,season_3,LJ
68,68,3/22/2006,21-082,CLE,CHA,1,50:11:00,10,21,0.476,1,5,0.2,16,23,0.696,0,11,11,12,0,1,5,4,37,29.3,season_3,LJ
69,69,3/24/2006,21-084,CLE,BOS,1,44:51:00,13,26,0.5,4,8,0.5,6,8,0.75,3,4,7,8,2,3,0,2,36,34.4,season_3,LJ
70,70,3/26/2006,21-086,CLE,HOU,1,48:56:00,14,34,0.412,0,4,0,8,11,0.727,3,3,6,5,2,0,2,2,36,22.3,season_3,LJ
71,71,3/29/2006,21-089,CLE,DAL,1,43:26:00,16,23,0.696,4,7,0.571,10,13,0.769,0,5,5,4,3,0,2,3,46,39.2,season_3,LJ
72,72,4/1/2006,21-092,CLE,MIA,1,45:29:00,16,25,0.64,2,6,0.333,13,14,0.929,4,8,12,9,2,0,4,3,47,43.8,season_3,LJ
73,73,4/2/2006,21-093,CLE,CHA,1,41:17:00,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,5,35,29.6,season_3,LJ
74,74,4/4/2006,21-095,CLE,PHI,1,34:40:00,13,22,0.591,4,10,0.4,7,9,0.778,1,3,4,7,4,0,3,4,37,31.9,season_3,LJ
75,75,4/5/2006,21-096,CLE,NYK,1,44:48:00,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,3,36,23.9,season_3,LJ
76,76,4/8/2006,21-099,CLE,NJN,1,44:09:00,12,26,0.462,0,3,0,13,16,0.813,1,4,5,7,1,0,6,5,37,22.2,season_3,LJ
77,77,4/10/2006,21-101,CLE,NOK,1,42:07:00,12,24,0.5,0,3,0,8,12,0.667,1,3,4,6,0,0,2,1,32,21.8,season_3,LJ
78,78,4/12/2006,21-103,CLE,DET,1,31:21:00,8,18,0.444,0,3,0,6,8,0.75,0,3,3,1,0,0,2,0,22,11.4,season_3,LJ
79,79,4/16/2006,21-107,CLE,WAS,1,29:32:00,8,16,0.5,0,0,,1,2,0.5,0,5,5,4,1,1,3,2,17,10.8,season_3,LJ
1,1,11/1/2006,21-306,CLE,WAS,1,40:38:00,11,24,0.458,2,4,0.5,2,6,0.333,3,7,10,5,0,2,5,2,26,15.3,season_4,LJ
2,2,11/3/2006,21-308,CLE,SAS,1,41:53:00,14,26,0.538,1,2,0.5,6,11,0.545,1,9,10,4,1,1,2,3,35,25.1,season_4,LJ
3,3,11/4/2006,21-309,CLE,CHA,1,38:06:00,3,13,0.231,1,3,0.333,9,10,0.9,4,5,9,7,0,1,2,0,16,15.6,season_4,LJ
4,4,11/7/2006,21-312,CLE,ATL,1,47:17:00,13,26,0.5,3,8,0.375,5,11,0.455,0,7,7,6,2,1,2,1,34,25.2,season_4,LJ
5,5,11/9/2006,21-314,CLE,CHI,1,37:50:00,6,13,0.462,0,1,0,7,8,0.875,0,4,4,12,3,2,3,0,19,22.9,season_4,LJ
6,6,11/11/2006,21-316,CLE,BOS,1,43:32:00,9,17,0.529,1,4,0.25,19,23,0.826,1,7,8,5,3,0,2,4,38,33.8,season_4,LJ
7,7,11/13/2006,21-318,CLE,NYK,1,41:20:00,10,19,0.526,3,4,0.75,6,9,0.667,0,4,4,6,2,1,3,2,29,22.8,season_4,LJ
8,8,11/15/2006,21-320,CLE,POR,1,38:54:00,10,15,0.667,3,6,0.5,9,11,0.818,0,7,7,7,2,1,4,2,32,29.6,season_4,LJ
9,9,11/17/2006,21-322,CLE,MIN,1,40:30:00,12,24,0.5,2,5,0.4,11,14,0.786,2,7,9,6,1,2,4,1,37,29.5,season_4,LJ
10,10,11/18/2006,21-323,CLE,WAS,1,33:20:00,8,20,0.4,0,1,0,4,5,0.8,2,3,5,4,2,0,3,2,20,12.1,season_4,LJ
11,11,11/21/2006,21-326,CLE,MEM,1,41:59:00,7,21,0.333,1,5,0.2,0,1,0,0,1,1,9,3,1,3,1,15,9.6,season_4,LJ
12,12,11/22/2006,21-327,CLE,TOR,1,39:55:00,11,24,0.458,2,7,0.286,6,9,0.667,0,10,10,8,4,0,2,1,30,26.6,season_4,LJ
13,13,11/24/2006,21-329,CLE,IND,1,42:26:00,6,14,0.429,2,2,1,16,20,0.8,1,6,7,5,1,0,3,6,30,22.6,season_4,LJ
14,14,11/25/2006,21-330,CLE,PHI,1,40:50:00,10,20,0.5,1,4,0.25,4,7,0.571,0,4,4,11,0,1,7,4,25,14.8,season_4,LJ
15,15,11/29/2006,21-334,CLE,NYK,1,41:11:00,10,22,0.455,0,5,0,7,11,0.636,1,6,7,6,0,1,5,1,27,16,season_4,LJ
16,16,12/1/2006,21-336,CLE,ATL,1,42:55:00,12,23,0.522,1,3,0.333,6,10,0.6,2,5,7,8,3,2,4,4,31,25.4,season_4,LJ
17,17,12/2/2006,21-337,CLE,HOU,1,35:44:00,7,22,0.318,2,6,0.333,5,7,0.714,1,4,5,4,0,0,3,2,21,8.5,season_4,LJ
18,18,12/6/2006,21-341,CLE,TOR,1,40:30:00,11,18,0.611,1,2,0.5,3,5,0.6,1,5,6,10,1,0,4,1,26,22.8,season_4,LJ
19,19,12/9/2006,21-344,CLE,IND,1,31:52:00,11,16,0.688,1,3,0.333,4,6,0.667,0,7,7,6,1,1,3,0,27,24.4,season_4,LJ
20,20,12/11/2006,21-346,CLE,NOK,1,41:36:00,7,18,0.389,0,3,0,1,1,1,3,4,7,6,4,0,3,1,15,13.3,season_4,LJ
21,21,12/13/2006,21-348,CLE,CHA,1,41:37:00,6,17,0.353,0,2,0,10,11,0.909,1,7,8,7,1,1,6,1,22,15.1,season_4,LJ
22,22,12/15/2006,21-350,CLE,SEA,1,33:37:00,9,14,0.643,2,3,0.667,2,3,0.667,0,9,9,7,1,0,4,3,22,18.8,season_4,LJ
23,23,12/16/2006,21-351,CLE,ORL,1,41:03:00,10,19,0.526,2,5,0.4,7,9,0.778,1,4,5,5,0,1,4,4,29,19.4,season_4,LJ
24,24,12/20/2006,21-355,CLE,NJN,1,40:11:00,10,22,0.455,1,3,0.333,16,21,0.762,0,1,1,8,2,1,3,4,37,27.6,season_4,LJ
25,25,12/21/2006,21-356,CLE,DET,1,43:00:00,9,20,0.45,0,1,0,8,8,1,2,8,10,5,2,0,1,1,26,23.5,season_4,LJ
26,26,12/23/2006,21-358,CLE,ORL,1,42:54:00,13,21,0.619,2,3,0.667,4,10,0.4,0,7,7,1,0,0,7,1,32,15.5,season_4,LJ
27,27,12/27/2006,21-362,CLE,ATL,1,39:31:00,10,25,0.4,1,2,0.5,6,8,0.75,1,8,9,3,1,2,1,1,27,18.9,season_4,LJ
28,28,12/29/2006,21-364,CLE,MIL,1,44:01:00,11,21,0.524,2,6,0.333,8,13,0.615,1,3,4,5,1,1,3,5,32,21.5,season_4,LJ
29,29,12/30/2006,22-000,CLE,CHI,1,40:19:00,15,26,0.577,3,4,0.75,0,3,0,2,7,9,3,1,0,5,4,33,19.6,season_4,LJ
30,30,1/2/2007,22-003,CLE,SAS,1,40:14:00,7,17,0.412,0,1,0,5,11,0.455,0,5,5,5,2,0,3,1,19,11.1,season_4,LJ
31,31,1/3/2007,22-004,CLE,BOS,1,44:47:00,11,20,0.55,2,3,0.667,8,10,0.8,1,5,6,4,3,1,3,0,32,27.3,season_4,LJ
32,32,1/5/2007,22-006,CLE,MIL,1,42:50:00,3,13,0.231,0,4,0,2,2,1,0,5,5,9,1,0,2,1,8,6.5,season_4,LJ
33,33,1/6/2007,22-007,CLE,NJN,1,44:00:00,9,21,0.429,1,3,0.333,0,0,,0,13,13,4,3,3,5,4,19,13.1,season_4,LJ
34,34,1/9/2007,22-010,CLE,SAC,1,43:25:00,14,26,0.538,3,7,0.429,3,3,1,1,3,4,7,2,1,3,3,34,26.4,season_4,LJ
35,35,1/11/2007,22-012,CLE,PHO,1,38:49:00,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,6,1,0,5,2,34,22,season_4,LJ
36,36,1/13/2007,22-014,CLE,LAC,1,42:02:00,10,23,0.435,0,1,0,8,8,1,1,5,6,6,1,0,2,4,28,19.7,season_4,LJ
37,37,1/16/2007,22-017,CLE,SEA,1,43:34:00,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,0,30,24.5,season_4,LJ
38,38,1/17/2007,22-018,CLE,POR,1,35:07:00,8,21,0.381,1,4,0.25,6,13,0.462,3,3,6,2,1,0,4,0,23,10.1,season_4,LJ
39,39,1/19/2007,22-020,CLE,DEN,1,43:52:00,9,23,0.391,0,1,0,12,14,0.857,2,8,10,10,2,0,3,2,30,25.7,season_4,LJ
40,40,1/20/2007,22-021,CLE,GSW,1,45:52:00,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,2,32,20.8,season_4,LJ
41,41,1/22/2007,22-023,CLE,ORL,1,43:23:00,6,15,0.4,0,3,0,6,13,0.462,0,4,4,5,3,0,2,2,18,12,season_4,LJ
42,42,1/24/2007,22-025,CLE,PHI,1,53:10:00,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,2,39,27.9,season_4,LJ
43,43,1/28/2007,22-029,CLE,PHO,1,42:04:00,12,22,0.545,3,6,0.5,3,6,0.5,2,7,9,5,2,0,3,2,30,23.4,season_4,LJ
44,44,2/1/2007,22-033,CLE,MIA,1,35:35:00,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,4,17,10.7,season_4,LJ
45,45,2/2/2007,22-034,CLE,CHA,1,35:39:00,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,18,16.2,season_4,LJ
46,46,2/4/2007,22-036,CLE,DET,1,43:17:00,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,21,12.7,season_4,LJ
47,47,2/7/2007,22-039,CLE,LAC,1,36:19:00,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,11,7,season_4,LJ
48,48,2/9/2007,22-041,CLE,MIA,1,41:08:00,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,29,21.1,season_4,LJ
49,49,2/11/2007,22-043,CLE,LAL,1,38:21:00,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,18,13,season_4,LJ
50,50,2/14/2007,22-046,CLE,UTA,1,42:39:00,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,23,16.8,season_4,LJ
51,51,2/15/2007,22-047,CLE,LAL,1,39:48:00,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,38,30.9,season_4,LJ
52,52,2/21/2007,22-053,CLE,TOR,1,36:49:00,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,29,16.4,season_4,LJ
53,53,2/22/2007,22-054,CLE,CHI,1,42:58:00,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,29,16.5,season_4,LJ
54,54,2/25/2007,22-057,CLE,MIA,1,41:30:00,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,29,19.3,season_4,LJ
55,55,2/27/2007,22-059,CLE,NOK,1,42:50:00,14,22,0.636,3,4,0.75,4,7,0.571,1,4,5,8,2,1,4,1,35,29.8,season_4,LJ
56,56,3/1/2007,22-061,CLE,DAL,1,39:58:00,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,2,39,26.9,season_4,LJ
57,57,3/3/2007,22-063,CLE,TOR,1,37:22:00,10,20,0.5,1,3,0.333,15,17,0.882,2,3,5,6,0,3,2,1,36,31.4,season_4,LJ
58,58,3/5/2007,22-065,CLE,HOU,1,41:38:00,12,24,0.5,3,6,0.5,5,9,0.556,1,11,12,8,0,0,3,2,32,24.2,season_4,LJ
59,59,3/7/2007,22-067,CLE,DET,1,50:40:00,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,4,41,31.9,season_4,LJ
60,60,3/10/2007,22-070,CLE,MIL,1,36:30:00,12,22,0.545,4,6,0.667,4,4,1,0,8,8,9,3,1,6,5,32,25.8,season_4,LJ
61,61,3/11/2007,22-071,CLE,IND,1,38:42:00,10,22,0.455,2,6,0.333,4,5,0.8,3,4,7,6,3,1,2,2,26,22.6,season_4,LJ
62,62,3/14/2007,22-074,CLE,MEM,1,29:35:00,11,17,0.647,4,7,0.571,3,6,0.5,1,5,6,4,3,0,2,0,29,26.3,season_4,LJ
63,63,3/17/2007,22-077,CLE,UTA,1,43:40:00,8,21,0.381,0,6,0,8,13,0.615,2,15,17,9,2,2,4,3,24,20.9,season_4,LJ
64,64,3/20/2007,22-080,CLE,CHA,1,46:33:00,12,31,0.387,2,9,0.222,11,12,0.917,2,4,6,6,1,3,3,4,37,25,season_4,LJ
65,65,3/21/2007,22-081,CLE,DAL,1,45:27:00,12,28,0.429,1,6,0.167,6,7,0.857,0,6,6,4,2,3,6,3,31,17.3,season_4,LJ
66,66,3/23/2007,22-083,CLE,NYK,1,38:16:00,8,16,0.5,0,1,0,5,6,0.833,1,2,3,10,2,0,1,1,21,21.5,season_4,LJ
67,67,3/25/2007,22-085,CLE,DEN,1,40:49:00,8,19,0.421,1,6,0.167,1,1,1,0,3,3,8,1,0,5,4,18,8.8,season_4,LJ
68,68,3/27/2007,22-087,CLE,IND,1,40:08:00,8,18,0.444,0,3,0,10,14,0.714,1,6,7,6,2,0,3,4,26,19.1,season_4,LJ
69,69,3/28/2007,22-088,CLE,NYK,1,43:55:00,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,3,24,15.7,season_4,LJ
70,70,3/31/2007,22-091,CLE,CHI,1,47:24:00,14,25,0.56,0,3,0,11,13,0.846,1,4,5,9,3,0,7,4,39,28.9,season_4,LJ
71,71,4/3/2007,22-094,CLE,MIN,1,41:49:00,13,24,0.542,0,2,0,5,5,1,2,10,12,6,4,1,2,1,31,30.3,season_4,LJ
72,72,4/5/2007,22-096,CLE,MIA,1,48:36:00,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,4,35,25.3,season_4,LJ
73,73,4/6/2007,22-097,CLE,WAS,1,44:25:00,7,23,0.304,0,3,0,11,14,0.786,0,6,6,5,1,1,2,3,25,14.3,season_4,LJ
74,74,4/8/2007,22-099,CLE,DET,1,43:06:00,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,2,20,11.3,season_4,LJ
75,75,4/12/2007,22-103,CLE,NJN,1,35:15:00,15,27,0.556,0,1,0,5,9,0.556,3,5,8,4,2,1,2,1,35,27.2,season_4,LJ
76,76,4/14/2007,22-105,CLE,ATL,1,31:57:00,8,16,0.5,3,6,0.5,4,5,0.8,1,4,5,6,1,1,0,1,23,22,season_4,LJ
77,77,4/17/2007,22-108,CLE,PHI,1,36:03:00,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,18,13,season_4,LJ
78,78,4/18/2007,22-109,CLE,MIL,1,39:58:00,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,24,20,season_4,LJ
1,1,10/31/2007,22-305,CLE,DAL,1,36:09:00,2,11,0.182,0,2,0,6,10,0.6,1,4,5,4,1,0,5,4,10,0.6,season_5,LJ
2,2,11/2/2007,22-307,CLE,NYK,1,44:25:00,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,1,45,36.7,season_5,LJ
3,3,11/4/2007,22-309,CLE,PHO,1,43:13:00,11,26,0.423,3,5,0.6,2,2,1,1,4,5,8,2,4,3,0,27,22.5,season_5,LJ
4,4,11/6/2007,22-311,CLE,GSW,1,41:51:00,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,1,24,25.9,season_5,LJ
5,5,11/7/2007,22-312,CLE,UTA,1,40:45:00,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,4,32,27.9,season_5,LJ
6,6,11/9/2007,22-314,CLE,SAC,1,43:51:00,10,19,0.526,0,2,0,6,8,0.75,0,4,4,4,1,1,1,1,26,20.2,season_5,LJ
7,7,11/11/2007,22-316,CLE,LAC,1,35:55:00,9,21,0.429,0,2,0,4,8,0.5,1,4,5,8,6,1,5,3,22,17.3,season_5,LJ
8,8,11/12/2007,22-317,CLE,DEN,1,33:47:00,9,16,0.563,1,3,0.333,8,14,0.571,0,1,1,4,2,0,4,3,27,16.9,season_5,LJ
9,9,11/14/2007,22-319,CLE,ORL,1,47:14:00,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,1,39,37.6,season_5,LJ
10,10,11/16/2007,22-321,CLE,UTA,1,40:16:00,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,3,40,31.5,season_5,LJ
11,11,11/20/2007,22-325,CLE,MIL,1,44:06:00,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,4,34,26.7,season_5,LJ
12,12,11/21/2007,22-326,CLE,MIN,1,39:03:00,17,26,0.654,6,10,0.6,5,8,0.625,2,6,8,5,3,2,3,2,45,39.7,season_5,LJ
13,13,11/24/2007,22-329,CLE,TOR,1,44:41:00,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,3,37,33.6,season_5,LJ
14,14,11/25/2007,22-330,CLE,IND,1,35:47:00,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,1,30,30.7,season_5,LJ
15,15,11/27/2007,22-332,CLE,BOS,1,45:46:00,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,2,38,34.4,season_5,LJ
16,16,11/28/2007,22-333,CLE,DET,1,19:31,5,11,0.455,0,2,0,5,9,0.556,0,1,1,3,0,0,0,1,15,9.7,season_5,LJ
17,17,12/11/2007,22-346,CLE,IND,0,22:37,5,9,0.556,0,1,0,7,10,0.7,1,2,3,5,1,1,4,2,17,13.2,season_5,LJ
18,18,12/14/2007,22-349,CLE,NJN,1,41:09:00,12,25,0.48,3,9,0.333,2,3,0.667,0,6,6,8,2,0,6,3,29,18.1,season_5,LJ
19,19,12/15/2007,22-350,CLE,PHI,1,41:46:00,10,18,0.556,0,1,0,1,1,1,0,6,6,6,0,1,3,1,21,15.7,season_5,LJ
20,20,12/17/2007,22-352,CLE,MIL,1,50:13:00,10,25,0.4,0,5,0,11,13,0.846,1,7,8,5,1,0,2,3,31,20.8,season_5,LJ
21,21,12/19/2007,22-354,CLE,NYK,1,36:52:00,12,21,0.571,3,6,0.5,5,6,0.833,1,7,8,6,6,0,4,1,32,30.3,season_5,LJ
22,22,12/20/2007,22-355,CLE,LAL,1,38:28:00,12,29,0.414,0,3,0,9,11,0.818,4,6,10,5,1,1,3,3,33,22.3,season_5,LJ
23,23,12/23/2007,22-358,CLE,GSW,1,40:51:00,8,20,0.4,0,2,0,9,13,0.692,2,3,5,8,1,1,3,2,25,18.4,season_5,LJ
24,24,12/25/2007,22-360,CLE,MIA,1,38:36:00,9,19,0.474,0,3,0,7,11,0.636,0,6,6,12,1,1,2,3,25,22.4,season_5,LJ
25,25,12/27/2007,22-362,CLE,DAL,1,36:19:00,9,21,0.429,1,4,0.25,5,10,0.5,4,4,8,7,3,0,3,5,24,17.8,season_5,LJ
26,26,12/29/2007,22-364,CLE,NOH,1,42:21:00,8,21,0.381,1,4,0.25,4,6,0.667,2,3,5,6,1,0,4,1,21,11.8,season_5,LJ
27,27,1/2/2008,23-003,CLE,ATL,1,40:05:00,13,22,0.591,1,3,0.333,9,11,0.818,1,4,5,6,2,1,2,1,36,31.4,season_5,LJ
28,28,1/4/2008,23-005,CLE,SAC,1,45:21:00,7,18,0.389,1,6,0.167,9,12,0.75,1,7,8,10,5,1,3,1,24,25.1,season_5,LJ
29,29,1/6/2008,23-007,CLE,TOR,1,45:44:00,14,29,0.483,4,8,0.5,7,12,0.583,3,8,11,8,0,0,1,1,39,31,season_5,LJ
30,30,1/8/2008,23-009,CLE,SEA,1,35:10:00,8,18,0.444,0,3,0,6,6,1,2,6,8,3,2,0,4,2,22,15.1,season_5,LJ
31,31,1/9/2008,23-010,CLE,ATL,1,43:23:00,13,22,0.591,0,4,0,5,9,0.556,3,7,10,6,3,1,3,3,31,27.1,season_5,LJ
32,32,1/11/2008,23-012,CLE,CHA,1,49:36:00,10,20,0.5,2,7,0.286,9,15,0.6,5,14,19,8,4,3,8,3,31,28.8,season_5,LJ
33,33,1/15/2008,23-016,CLE,MEM,1,47:10:00,18,28,0.643,6,12,0.5,9,16,0.563,3,5,8,9,3,1,4,1,51,45,season_5,LJ
34,34,1/17/2008,23-018,CLE,SAS,1,38:54:00,9,24,0.375,1,5,0.2,8,12,0.667,3,6,9,7,0,2,3,1,27,19,season_5,LJ
35,35,1/21/2008,23-022,CLE,MIA,1,39:40:00,11,26,0.423,1,4,0.25,5,5,1,1,2,3,5,4,1,5,4,28,17.1,season_5,LJ
36,36,1/23/2008,23-024,CLE,WAS,1,31:08:00,7,13,0.538,1,3,0.333,8,9,0.889,2,6,8,8,2,1,0,2,23,27,season_5,LJ
